NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정
1049,AJ네트웍스,095570,B+,C,A,B+,2023,,,,
1048,AK홀딩스,006840,A,A,A+,B+,2023,,,,
1047,BGF,027410,A,A,A+,B+,2023,,,,
1046,BGF리테일,282330,A,A,A+,A,2023,,,,
1045,BNK금융지주,138930,A,A,A+,A,2023,,,,
1044,BNK캐피탈,801190,등급없음,등급없음,등급없음,B+,2023,,,,
1043,BYC,001460,D,D,D,D,2023,,,,
1042,CJ,001040,A,A,A+,B+,2023,,,,
1041,CJ CGV,079160,A,A,A+,B+,2023,,,,
1040,CJ ENM,035760,B+,B+,A+,B,2023,,,,
1039,CJ 바이오사이언스,311690,C,D,C,B,2023,,,,
1038,CJ대한통운,000120,A,A,A+,B+,2023,,,,
1037,CJ씨푸드,011150,B+,B+,A,B,2023,,,,
1036,CJ제일제당,097950,A,A,A+,A,2023,,,,
1035,CJ프레시웨이,051500,A,B+,A+,A,2023,,,,
1034,CS홀딩스,000590,C,D,D,B,2023,,,,
1033,DB,012030,C,D,B,C,2023,,,,
1032,DB금융투자,016610,B,C,B,B+,2023,,,,
1031,DB생명보험,818158,등급없음,등급없음,등급없음,B+,2023,,,,
1030,DB손해보험,005830,B+,B+,A,B+,2023,,,,
1029,DB하이텍,000990,B+,A,A,B,2023,,,,
1028,DGB금융지주,139130,A,A+,A,A,2023,,,사회 등급조정(2024.07.),
1027,DGB생명보험,813363,등급없음,등급없음,등급없음,B+,2023,,,,
1026,DH오토넥스,000300,D,C,D,D,2023,,,,
1025,DL,000210,A,A,A,A,2023,,,,
1024,DL건설,001880,A,A,A+,B+,2023,,,,
1023,DL이앤씨,375500,A,A,B+,A,2023,,,사회 등급조정(2023.10.),
1022,DN오토모티브,007340,C,C,B,D,2023,,,,
1021,DRB동일,004840,B+,B,A,B+,2023,,,,
1020,DSR,155660,D,C,C,D,2023,,,,
1019,DSR제강,069730,C,C,C,B,2023,,,,
1018,E1,017940,A,A,A,B+,2023,,,,
1017,F&F,383220,B+,B+,A+,B,2023,,,,
1016,F&F 홀딩스,007700,A,B+,A+,B+,2023,,,,
1015,GKL,114090,B+,B,A,B+,2023,,,,
1014,GS,078930,B,B+,A+,C,2023,,,,
1013,GS건설,006360,A,A,B+,A,2023,,,사회 등급조정(2023.10.),
1012,GS글로벌,001250,B+,B+,B+,B+,2023,,,,
1011,GS리테일,007070,A,A+,A,A,2023,통합 등급조정(2023.10.),,사회 등급조정(2023.10.),
1010,HDC,012630,B+,B+,A,B,2023,,,,
1009,HDC랩스,039570,D,D,D,C,2023,,,,
1008,HDC현대EP,089470,B+,B+,B+,B,2023,,,,
1007,HDC현대산업개발,294870,B+,B+,A,B,2023,,,,
1006,HD한국조선해양,009540,A,A,A+,A,2023,,,,
1005,HD현대,267250,A,B+,A+,B+,2023,,환경 등급조정(2023.10.),,
1004,HD현대건설기계,267270,A+,A+,A+,A,2023,,,,
1003,HD현대미포,010620,A,A,A+,B+,2023,,,,
1002,HD현대에너지솔루션,322000,A,A,A,B+,2023,,,,
1001,HD현대인프라코어,042670,A,A+,A+,B+,2023,,,,
1000,HD현대일렉트릭,267260,A,A,A+,A,2023,,,,
999,HD현대중공업,329180,A,A,A,B+,2023,,,,
998,HJ중공업,097230,B+,B,B+,B+,2023,,,,
997,HK이노엔,195940,A,A,A+,A,2023,,,,
996,HL D&I,014790,A,A,A+,B+,2023,,,,
995,HLB,028300,C,B+,B+,D,2023,,,,
994,HLB글로벌,003580,D,D,D,D,2023,,,,
993,HLB생명과학,067630,B,C,B,B,2023,,,,
992,HL만도,204320,A,B+,A+,A,2023,,,,
991,HL홀딩스,060980,A,A,A+,A,2023,,,,
990,HMM,011200,A,A+,A+,B+,2023,,,,
989,HS애드,035000,B,D,C,B+,2023,,,,
988,ISC,095340,D,C,C,D,2023,,,,
987,JB금융지주,175330,A,A+,A,A,2023,,,,
986,JW생명과학,234080,B+,B+,A,B,2023,,,,
985,JW중외제약,001060,B+,B,A,B+,2023,,,,
984,JW홀딩스,096760,B+,B,A,B+,2023,,,,
983,JYP Ent.,035900,B+,A,A+,B,2023,,,,
982,KB금융,105560,A+,A+,A+,A+,2023,,,,
981,KB손해보험,002550,등급없음,등급없음,등급없음,A,2023,,,,
980,KCC건설,021320,D,D,D,D,2023,,,,
979,KCI,036670,B+,A,A,B,2023,,,,
978,KC그린홀딩스,009440,C,C,D,C,2023,,,,
977,KC코트렐,119650,C,C,D,C,2023,,,,
976,KEC,092220,D,C,C,D,2023,,,,
975,KG모빌리언스,046440,D,D,D,D,2023,,,,
974,KG모빌리티,003620,D,C,C,D,2023,,,,
973,KG스틸,016380,B,B+,A,C,2023,,,,
972,KG이니시스,035600,C,D,B,D,2023,,,,
971,KG케미칼,001390,C,C,D,C,2023,,,,
970,KH 필룩스,033180,D,C,C,D,2023,,,,
969,KH바텍,060720,A,A,A+,A,2023,,,,
968,KIB플러그에너지,015590,D,D,D,D,2023,,,,
967,KISCO홀딩스,001940,D,C,D,D,2023,,,,
966,KPX케미칼,025000,C,C,C,C,2023,,,,
965,KPX홀딩스,092230,C,C,C,C,2023,,,,
964,KR모터스,000040,D,D,D,D,2023,,,,
963,KSS해운,044450,B+,B+,A,B+,2023,,,,
962,KTcs,058850,A,A,A,A,2023,,,,
961,KTis,058860,B+,B+,A,B+,2023,,,,
960,LB세미콘,061970,B,A,A,D,2023,,,,
959,LF,093050,B+,B,B,B+,2023,,,,
958,LG,003550,A,A,A+,A,2023,,,,
957,LG디스플레이,034220,B+,A,A+,B,2023,,,,
956,LG생활건강,051900,A,A,A+,A,2023,,,,
955,LG유플러스,032640,A,A,A,A,2023,,,사회 등급조정(2023.10.),
954,LG이노텍,011070,A,A,A+,A,2023,,,,
953,LG전자,066570,A,A+,A,A,2023,,,,
952,LG헬로비전,037560,A,B+,A+,A,2023,,,,
951,LG화학,051910,A,B+,A+,A,2023,,,,
950,LIG넥스원,079550,A,A,A+,A,2023,,,,
949,LS,006260,A,A,A,A,2023,,,,
948,LS네트웍스,000680,B+,B,A,B+,2023,,,,
947,LS마린솔루션,060370,C,C,C,B+,2023,,,,
946,LS에코에너지,229640,C,D,C,B,2023,,,,
945,LX세미콘,108320,B+,A,A,B+,2023,,,,
944,LX인터내셔널,001120,B+,B+,A+,B,2023,,,,
943,LX하우시스,108670,A,A,A,B+,2023,,,,
942,LX홀딩스,383800,B+,B+,A,B+,2023,,,,
941,MH에탄올,023150,D,D,D,C,2023,,,,
940,NAVER,035420,A+,A,A+,A+,2023,,,,
939,NHN KCP,060250,B,C,B,B,2023,,,,
938,NH농협손해보험,839719,등급없음,등급없음,등급없음,A,2023,,,,
937,NH투자증권,005940,A,A,A,A,2023,,,,
936,NICE,034310,B+,B,A,B+,2023,,,,
935,NICE평가정보,030190,B,C,B,B,2023,,,,
934,NI스틸,008260,D,D,D,D,2023,,,,
933,OCI홀딩스,010060,A,A,A,A,2023,,,,
932,PI첨단소재,178920,B+,B+,A,B,2023,,,,
931,POSCO홀딩스,005490,A+,A,A+,A+,2023,,,,
930,RFHIC,218410,D,D,D,C,2023,,,,
929,S-Oil,010950,A+,A,A+,A+,2023,,,,
928,SBS,034120,B+,B+,A,B+,2023,,,,
927,SBS콘텐츠허브,046140,B+,B,B+,B+,2023,,,,
926,SBW생명과학,151910,D,C,D,D,2023,,,,
925,SFA반도체,036540,D,C,C,D,2023,,,,
924,SGC E&C,016250,C,B,C,C,2023,,,사회 등급조정(2024.01.),
923,SGC에너지,005090,B+,A,A,B,2023,통합 등급조정(2023.10.),,,지배구조 등급조정(2023.10.)
922,SG글로벌,001380,D,C,D,D,2023,,,,
921,SG세계물산,004060,D,D,D,D,2023,,,,
920,SHD,001770,C,D,D,B,2023,,,,
919,SH에너지화학,002360,C,C,D,B,2023,,,,
918,SIMPAC,009160,D,C,C,D,2023,,,,
917,SK,034730,A+,A,A+,A+,2023,,,,
916,SKC,011790,A+,A+,A+,A,2023,,,,
915,SK가스,018670,A+,A+,A+,A,2023,,,,
914,SK네트웍스,001740,A,A,A+,A,2023,,,,
913,SK디스커버리,006120,A,A+,A+,A,2023,,,,
912,SK디앤디,210980,A,A,A+,A,2023,,,,
911,SK렌터카,068400,A,A+,A+,A,2023,,,,
910,SK바이오사이언스,302440,A,B+,A,A,2023,,,,
909,SK스퀘어,402340,A,A,A+,A,2023,,,,
908,SK아이이테크놀로지,361610,A,A,A+,B+,2023,,,,
907,SK오션플랜트,100090,B,A,A,C,2023,,,,
906,SK이노베이션,096770,A+,A,A+,A+,2023,,,,
905,SK증권,001510,B+,B,B+,B+,2023,,,,
904,SK케미칼,285130,A+,A+,A+,A,2023,,,,
903,SK텔레콤,017670,A,A,A,A,2023,,,사회 등급조정(2023.10.),
902,SK하이닉스,000660,A,A,A+,A,2023,,,,
901,SNT다이내믹스,003570,C,C,C,C,2023,,,,
900,SNT모티브,064960,C,C,C,C,2023,,,,
899,SNT에너지,100840,D,D,C,D,2023,,,,
898,SNT홀딩스,036530,B,C,C,B+,2023,,,,
897,SOOP,067160,C,B,B+,C,2023,,,,
896,SPC삼립,005610,D,C,C,D,2023,통합 등급조정(2024.04.),,사회 등급조정(2024.04.),
895,STX,011810,C,D,C,C,2023,,,,
894,STX엔진,077970,C,C,B,D,2023,,,,
893,STX중공업,071970,C,C,C,B,2023,,,,
892,SUN&L,002820,C,C,C,C,2023,,,,
891,TCC스틸,002710,C,B+,B+,D,2023,,,,
890,TP,007980,D,D,C,D,2023,,,,
889,TYM,002900,B+,B+,A,B,2023,,,,
888,WISCOM,024070,C,C,C,B,2023,,,,
887,YG PLUS,037270,D,D,D,D,2023,,,,
886,가온전선,000500,B+,B+,A,B,2023,,,,
885,강남제비스코,000860,B+,B+,B+,B+,2023,,,,
884,강원랜드,035250,A,A+,A+,A,2023,,,,
883,갤럭시아머니트리,094480,C,D,C,C,2023,,,,
882,갤럭시아에스엠,011420,D,D,D,D,2023,,,,
881,경남은행,192520,등급없음,등급없음,등급없음,B,2023,통합 등급조정(2023.10.),,,지배구조 등급조정(2023.10.)
880,경농,002100,C,C,D,B+,2023,,,,
879,경동나비엔,009450,B,B+,A,C,2023,,,,
878,경동도시가스,267290,C,C,B+,D,2023,,,,
877,경동인베스트,012320,C,C,B+,C,2023,,,,
876,경방,000050,C,C,D,C,2023,,,,
875,경보제약,214390,B+,B+,A,B+,2023,,,,
874,경인양행,012610,C,B+,B+,D,2023,,,,
873,경인전자,009140,D,D,D,C,2023,,,,
872,계룡건설산업,013580,B+,B+,B+,B,2023,,,,
871,계양전기,012200,C,C,C,C,2023,,,,지배구조 등급조정(2024.04.)
870,고려산업,002140,D,D,D,C,2023,,,,
869,고려아연,010130,B,A,A,C,2023,,,,
868,고려제강,002240,C,C,B,D,2023,,,,
867,고영,098460,B+,B+,A,B,2023,,,,
866,골프존,215000,C,B+,A,C,2023,,,,
865,광동제약,009290,C,C,B,C,2023,,,,
864,광명전기,017040,D,C,C,D,2023,,,,
863,광전자,017900,D,C,D,D,2023,,,,
862,광주신세계,037710,A,A,A+,A,2023,,,,
861,광주은행,192530,등급없음,등급없음,등급없음,B+,2023,,,,
860,교보생명보험,811097,등급없음,등급없음,등급없음,B+,2023,,,,
859,교보증권,030610,B+,A,A,B+,2023,,,,
858,교촌에프앤비,339770,C,C,C,B,2023,,,,
857,국도화학,007690,D,C,D,D,2023,,,,
856,국동,005320,C,D,C,C,2023,,,,
855,국민은행,060000,등급없음,등급없음,등급없음,A,2023,,,,
854,국보,001140,D,C,D,D,2023,,,,
853,국일제지,078130,D,C,C,D,2023,,,,
852,국제약품,002720,C,D,C,B,2023,,,,
851,그린케미칼,083420,C,C,C,B,2023,,,,
850,극동유화,014530,D,D,D,D,2023,,,,
849,금강공업,014280,C,C,D,B,2023,,,,
848,금비,008870,D,C,D,D,2023,,,,
847,금양,001570,D,D,D,D,2023,,,,
846,금호건설,002990,B,B,B+,B,2023,,,,
845,금호석유화학,011780,A,A,A+,A,2023,,,,
844,금호에이치티,214330,D,C,C,D,2023,,,,
843,금호전기,001210,D,C,C,D,2023,,,,
842,금호타이어,073240,A,A,A+,B+,2023,,,,
841,기신정기,092440,D,D,D,D,2023,,,,
840,기아,000270,B,A,A+,C,2023,,,,
839,기업은행,024110,A,A+,A+,A,2023,,,,
838,까뮤이앤씨,013700,C,D,D,B,2023,,,,
837,깨끗한나라,004540,B+,B+,B+,B,2023,,,,
836,나노신소재,121600,C,C,C,B,2023,,,,
835,나노엔텍,039860,D,D,D,D,2023,,,,
834,나스미디어,089600,B+,B,B,A,2023,,,,
833,나우IB,293580,D,D,D,C,2023,,,,
832,남광토건,001260,D,C,D,D,2023,,,,
831,남선알미늄,008350,D,C,C,D,2023,,,,
830,남성,004270,D,D,D,C,2023,,,,
829,남양유업,003920,B,B+,A,C,2023,,,,
828,남해화학,025860,C,C,C,C,2023,,,,
827,네이처셀,007390,D,C,C,D,2023,,,,
826,네패스,033640,C,C,B,D,2023,,,,
825,넥센,005720,B+,B+,A,B,2023,,,,
824,넥센타이어,002350,B+,A,A,B,2023,,,,
823,넥스틴,348210,C,D,D,B,2023,,,,
822,넥슨게임즈,225570,C,D,C,B,2023,,,,
821,넵튠,217270,C,D,C,B,2023,,,,
820,넷마블,251270,B+,B+,A,B+,2023,,,,
819,노루페인트,090350,B+,A,A+,B,2023,,,,
818,노루홀딩스,000320,A,A,A+,B+,2023,,,,
817,녹십자,006280,B+,B+,A,B,2023,,,,
816,녹십자홀딩스,005250,B+,B+,A,B+,2023,,,,
815,농심,004370,B+,A,A,B,2023,,,,
814,농심홀딩스,072710,B+,B+,A,B,2023,,,,
813,농우바이오,054050,D,D,D,C,2023,,,,
812,농협금융지주,839683,등급없음,등급없음,등급없음,A+,2023,,,,
811,농협생명보험,839723,등급없음,등급없음,등급없음,A,2023,,,,
810,농협은행,839742,등급없음,등급없음,등급없음,A,2023,,,,
809,다날,064260,D,D,D,D,2023,,,,
808,다스코,058730,C,C,C,C,2023,,,,
807,다올투자증권,030210,B+,B+,B+,B+,2023,,,,
806,다우기술,023590,B+,A,A+,B,2023,,,,
805,다우데이타,032190,C,D,C,C,2023,,,,
804,다원시스,068240,D,D,D,D,2023,,,,
803,다이나믹디자인,145210,D,D,D,D,2023,,,,
802,대교,019680,B+,C,B+,B+,2023,,,,
801,대구백화점,006370,C,D,C,B,2023,,,,
800,대구은행,005270,등급없음,등급없음,등급없음,B+,2023,,,,지배구조 등급조정(2024.07.)
799,대덕,008060,B+,A,A,B,2023,,,,
798,대덕전자,353200,A,A,A,B+,2023,,,,
797,대동,000490,C,B,A,D,2023,,,,
796,대동전자,008110,D,D,D,C,2023,,,,
795,대림비앤코,005750,C,C,C,C,2023,,,,
794,대림통상,006570,D,C,C,D,2023,,,,
793,대상,001680,A,A,A+,B+,2023,,,,
792,대상홀딩스,084690,B+,A,A+,B,2023,,,,
791,대성산업,128820,D,D,D,D,2023,,,,
790,대성에너지,117580,C,C,C,C,2023,,,,
789,대성홀딩스,016710,C,C,C,C,2023,,,,
788,대신증권,003540,B+,B,A,B+,2023,,,,
787,대양금속,009190,D,C,C,D,2023,,,,
786,대영포장,014160,D,D,C,D,2023,,,,
785,대우건설,047040,A,A+,B+,A,2023,,,사회 등급조정(2024.04.),
784,대우부품,009320,D,D,D,D,2023,,,,
783,대웅,003090,B+,A,A,B+,2023,,,,
782,대웅제약,069620,B+,A,A,B,2023,,,,
781,대원강업,000430,C,B,B+,C,2023,,,,
780,대원전선,006340,D,C,D,D,2023,,,,
779,대원제약,003220,B,C,B,B+,2023,,,,
778,대원화성,024890,D,C,D,D,2023,,,,
777,대유에이텍,002880,C,C,B,D,2023,,,,
776,대주전자재료,078600,C,B,B+,C,2023,,,,
775,대창,012800,D,C,D,D,2023,,,,
774,대창단조,015230,C,C,D,C,2023,,,,
773,대한방직,001070,C,C,D,B,2023,,,,
772,대한유화,006650,B+,B+,B+,B,2023,,,,
771,대한전선,001440,A,A,A+,B+,2023,,,,
770,대한제강,084010,C,C,C,C,2023,,,,
769,대한제당,001790,C,C,C,C,2023,,,,
768,대한제분,001130,D,C,D,D,2023,,,,
767,대한항공,003490,A,A,A+,A,2023,,,,
766,대한해운,005880,C,B,B+,D,2023,,,,
765,대한화섬,003830,C,C,D,B,2023,,,,
764,대현,016090,C,D,D,B+,2023,,,,
763,대호에이엘,069460,C,C,D,B,2023,,,,
762,더네이쳐홀딩스,298540,D,D,D,C,2023,,,,
761,더블유게임즈,192080,B,D,C,B+,2023,,,,
760,더존비즈온,012510,C,D,B,D,2023,,,,
759,덕산네오룩스,213420,C,D,B,D,2023,,,,
758,덕성,004830,C,C,D,B,2023,,,,
757,덕양산업,024900,C,D,B,D,2023,,,,
756,덴티움,145720,D,D,D,D,2023,,,,
755,도화엔지니어링,002150,B,C,B,B,2023,,,,
754,동국제약,086450,C,B,A,D,2023,,,,
753,동국홀딩스,001230,A,A,A,B+,2023,,,,
752,동남합성,023450,D,D,D,C,2023,,,,
751,동방,004140,C,C,B,D,2023,,,,
750,동방아그로,007590,C,D,C,B,2023,,,,
749,동부건설,005960,B+,B+,B+,B,2023,,,,
748,동서,026960,D,C,C,D,2023,,,,
747,동성제약,002210,C,D,C,C,2023,,,,지배구조 등급조정(2024.07.)
746,동성케미컬,102260,A,A+,A+,B+,2023,,,,
745,동아쏘시오홀딩스,000640,A,B+,A+,A,2023,,,,
744,동아에스티,170900,A,B+,A+,A,2023,,,,
743,동아지질,028100,D,D,D,D,2023,,,,
742,동아타이어,282690,D,D,D,D,2023,,,,
741,동양,001520,D,D,D,C,2023,,,,
740,동양고속,084670,C,C,D,C,2023,,,,
739,동양생명,082640,B,C,B,B+,2023,,,,
738,동양철관,008970,C,C,C,C,2023,,,,
737,동양피스톤,092780,C,C,B,D,2023,,,,
736,동원F&B,049770,B,B+,A,C,2023,,,,
735,동원금속,018500,C,C,C,C,2023,,,,
734,동원산업,006040,B+,B+,B+,B,2023,,,,
733,동원수산,030720,D,D,D,D,2023,,,,
732,동원시스템즈,014820,B,A,A,C,2023,,,,
731,동일고무벨트,163560,A,A,A,B+,2023,,,,
730,동일산업,004890,C,C,D,B,2023,,,,
729,동일제강,002690,C,C,D,C,2023,,,,
728,동진쎄미켐,005290,B,A,A,D,2023,,,,
727,동화기업,025900,D,C,D,D,2023,,,,
726,동화약품,000020,C,C,B,C,2023,,,,
725,두산,000150,B+,A,A+,B,2023,,,,
724,두산밥캣,241560,A,B,A,A,2023,,,,
723,두산에너빌리티,034020,B+,A,A+,B,2023,통합 등급조정(2024.04.),,,지배구조 등급조정(2024.04.)
722,두산테스나,131970,C,C,C,C,2023,,,,
721,두산퓨얼셀,336260,A,B+,A+,A,2023,,,,
720,두올,016740,C,C,B,D,2023,,,,
719,드림어스컴퍼니,060570,C,C,B,C,2023,,,,
718,드림텍,192650,C,C,C,B+,2023,,,,
717,디씨엠,024090,C,D,C,B,2023,,,,
716,디아이,003160,D,C,C,D,2023,,,,
715,디아이동일,001530,D,D,D,C,2023,,,,
714,디아이씨,092200,D,C,C,D,2023,,,,
713,디어유,376300,D,D,C,D,2023,,,,
712,디와이,013570,C,D,C,B,2023,,,,
711,디와이파워,210540,C,C,D,C,2023,,,,
710,라이나생명보험,885673,등급없음,등급없음,등급없음,B,2023,,,,
709,락앤락,115390,C,C,C,B,2023,,,,
708,로보스타,090360,D,D,D,C,2023,,,,
707,롯데관광개발,032350,D,D,C,D,2023,,,,
